Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,SEQ,6e-07,6e-07
1,4,IMP,8e-07,4e-07
1,8,SEQ,1.2e-06,6e-07
1,8,IMP,8e-07,1e-06
1,16,SEQ,2.2e-06,1e-06
1,16,IMP,1.8000000000000001e-06,2.8e-06
1,32,SEQ,9.8e-06,6.2e-06
1,32,IMP,4.2e-06,5.8e-06
1,64,SEQ,3.44e-05,3.24e-05
1,64,IMP,1.6600000000000004e-05,3.14e-05
1,128,SEQ,6.02e-05,5.380000000000001e-05
1,128,IMP,3.8e-05,7.32e-05
1,256,SEQ,0.00017919999999999996,0.00042940000000000003
1,256,IMP,0.0001986,0.0002692
1,512,SEQ,0.0011616,0.0028462
1,512,IMP,0.0003366,0.0006356
1,1024,SEQ,0.005284,0.018292199999999998
1,1024,IMP,0.001489,0.003125
1,2048,SEQ,0.028818,0.076626
1,2048,IMP,0.007101199999999999,0.015406199999999998
1,4096,SEQ,0.268239,0.3755986
1,4096,IMP,0.05826680000000001,0.082452
