Processes,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,16,OMP,1.7e-05,2.1999999999999997e-06
2,32,OMP,0.0001426,1.96e-05
4,64,OMP,0.00014640000000000003,3.9999999999999996e-05
8,128,OMP,0.0002208,9.56e-05
16,256,OMP,0.00038219999999999997,0.00021040000000000005
32,512,OMP,0.0007524000000000001,0.0005356
64,1024,OMP,0.0017408,0.0020486000000000002
1,16,MPI DT,8.82e-05,1e-06
2,32,MPI DT,0.00047540000000000006,3.62e-05
4,64,MPI DT,0.000432,6.720000000000001e-05
8,128,MPI DT,0.0006749999999999999,0.0001364
16,256,MPI DT,0.0012989999999999998,0.0005538
32,512,MPI DT,0.0040384,0.0039706
64,1024,MPI DT,0.0105924,0.015597400000000003
1,32,OMP,4.7000000000000004e-05,1.1e-05
2,64,OMP,0.0001692,4.5799999999999995e-05
4,128,OMP,0.00025199999999999995,0.000115
8,256,OMP,0.000297,0.00023540000000000003
16,512,OMP,0.0005518000000000001,0.0006564
32,1024,OMP,0.0011556000000000001,0.0020419999999999995
64,2048,OMP,0.0027378,0.006814199999999999
1,32,MPI DT,2.48e-05,2.7999999999999994e-06
2,64,MPI DT,0.0002546,6.08e-05
4,128,MPI DT,0.0006046000000000001,0.0001402
8,256,MPI DT,0.0009626000000000001,0.0004772
16,512,MPI DT,0.0024706,0.0031507999999999996
32,1024,MPI DT,0.0083988,0.0114182
64,2048,MPI DT,0.0363328,0.052385799999999996
1,64,OMP,3.34e-05,1.86e-05
2,128,OMP,0.00017240000000000002,0.0001418
4,256,OMP,0.000328,0.0003352
8,512,OMP,0.0005758,0.0007976000000000001
16,1024,OMP,0.0010718000000000001,0.0023708
32,2048,OMP,0.0021839999999999997,0.0070798
64,4096,OMP,0.0066088,0.0237454
1,64,MPI DT,3.42e-05,1.32e-05
2,128,MPI DT,0.00033999999999999997,0.00011800000000000001
4,256,MPI DT,0.0007432000000000001,0.0005297999999999999
8,512,MPI DT,0.0021174,0.0021272
16,1024,MPI DT,0.006949800000000001,0.0092952
32,2048,MPI DT,0.032521,0.0356388
64,4096,MPI DT,0.1536498,0.17364200000000002
1,128,OMP,0.0001656,9.84e-05
2,256,OMP,0.00032879999999999997,0.00043759999999999996
4,512,OMP,0.0007726,0.0011094
8,1024,OMP,0.0013800000000000002,0.0031966
16,2048,OMP,0.0026559999999999995,0.008777000000000002
32,4096,OMP,0.0065742,0.027727999999999996
1,128,MPI DT,6.7e-05,7.060000000000001e-05
2,256,MPI DT,0.0005926,0.00040420000000000007
4,512,MPI DT,0.0016232,0.0019671999999999997
8,1024,MPI DT,0.006434999999999999,0.0080496
16,2048,MPI DT,0.032414200000000004,0.0304006
32,4096,MPI DT,0.1410412,0.125612
1,256,OMP,0.0002816,0.00027959999999999997
2,512,OMP,0.0009418000000000001,0.0015632
4,1024,OMP,0.0019218,0.0055124
8,2048,OMP,0.0040984,0.013083000000000003
16,4096,OMP,0.009710199999999999,0.0364728
1,256,MPI DT,0.00043959999999999995,0.00043039999999999994
2,512,MPI DT,0.001258,0.0020668
4,1024,MPI DT,0.0060556,0.0078388
8,2048,MPI DT,0.029398800000000003,0.0327788
16,4096,MPI DT,0.1479876,0.1188906
1,512,OMP,0.0010379999999999999,0.0011162
2,1024,OMP,0.0028187999999999998,0.0079452
4,2048,OMP,0.006763999999999999,0.021942999999999997
8,4096,OMP,0.0162226,0.0555156
1,512,MPI DT,0.0013352,0.0029286
2,1024,MPI DT,0.0046828,0.0109328
4,2048,MPI DT,0.025401,0.034746
8,4096,MPI DT,0.16164459999999997,0.1314802
1,1024,OMP,0.0041348,0.0048886
2,2048,OMP,0.0109166,0.0315218
4,4096,OMP,0.028891,0.09198200000000001
1,1024,MPI DT,0.0052645999999999995,0.0189748
2,2048,MPI DT,0.0227178,0.0447264
4,4096,MPI DT,0.19453520000000002,0.1585222
1,2048,OMP,0.0174268,0.0249942
2,4096,OMP,0.05113379999999999,0.1351962
1,2048,MPI DT,0.028462599999999998,0.07331679999999999
2,4096,MPI DT,0.23553379999999996,0.24347639999999998
1,4096,OMP,0.090861,0.1256932
1,4096,MPI DT,0.26666860000000003,0.3563472
