Processes,Dim,CheckSym,MatTranspose,Version
1,16,0.000027,0.000001,MPI DT
1,16,0.000019,0.000001,MPI DT
1,16,0.000017,0.000001,MPI DT
1,16,0.000017,0.000001,MPI DT
1,16,0.000018,0.000001,MPI DT
2,32,0.000881,0.000045,MPI DT
2,32,0.000048,0.000035,MPI DT
2,32,0.000048,0.000033,MPI DT
2,32,0.000054,0.000033,MPI DT
2,32,0.000049,0.000034,MPI DT
4,64,0.000767,0.000066,MPI DT
4,64,0.000402,0.000062,MPI DT
4,64,0.000440,0.000061,MPI DT
4,64,0.000531,0.000081,MPI DT
4,64,0.000116,0.000061,MPI DT
8,128,0.000417,0.000138,MPI DT
8,128,0.000411,0.000142,MPI DT
8,128,0.000435,0.000154,MPI DT
8,128,0.000736,0.000125,MPI DT
8,128,0.000428,0.000149,MPI DT
16,256,0.001401,0.000594,MPI DT
16,256,0.001378,0.000592,MPI DT
16,256,0.001328,0.000518,MPI DT
16,256,0.001356,0.000520,MPI DT
16,256,0.001296,0.000565,MPI DT
32,512,0.004151,0.004154,MPI DT
32,512,0.004381,0.004282,MPI DT
32,512,0.004266,0.004115,MPI DT
32,512,0.004123,0.003940,MPI DT
32,512,0.003949,0.004225,MPI DT
64,1024,0.010823,0.016195,MPI DT
64,1024,0.010483,0.015795,MPI DT
64,1024,0.010186,0.015511,MPI DT
64,1024,0.010179,0.016036,MPI DT
64,1024,0.010008,0.014455,MPI DT
1,16,-42.000000,0.000275,MPI BDV
1,16,-42.000000,0.000190,MPI BDV
1,16,-42.000000,0.000198,MPI BDV
1,16,-42.000000,0.000179,MPI BDV
1,16,-42.000000,0.000149,MPI BDV
4,64,-42.000000,0.000324,MPI BDV
4,64,-42.000000,0.000274,MPI BDV
4,64,-42.000000,0.000217,MPI BDV
4,64,-42.000000,0.000838,MPI BDV
4,64,-42.000000,0.000196,MPI BDV
16,256,-42.000000,0.001236,MPI BDV
16,256,-42.000000,0.001188,MPI BDV
16,256,-42.000000,0.001024,MPI BDV
16,256,-42.000000,0.001052,MPI BDV
16,256,-42.000000,0.001063,MPI BDV
64,1024,-42.000000,0.008845,MPI BDV
64,1024,-42.000000,0.009495,MPI BDV
64,1024,-42.000000,0.008864,MPI BDV
64,1024,-42.000000,0.008896,MPI BDV
64,1024,-42.000000,0.008886,MPI BDV
1,32,0.000030,0.000003,MPI DT
1,32,0.000022,0.000002,MPI DT
1,32,0.000022,0.000002,MPI DT
1,32,0.000023,0.000002,MPI DT
1,32,0.000019,0.000002,MPI DT
2,64,0.000512,0.000056,MPI DT
2,64,0.000465,0.000053,MPI DT
2,64,0.000067,0.000055,MPI DT
2,64,0.000064,0.000054,MPI DT
2,64,0.000066,0.000051,MPI DT
4,128,0.000711,0.000121,MPI DT
4,128,0.000442,0.000135,MPI DT
4,128,0.000376,0.000127,MPI DT
4,128,0.000291,0.000140,MPI DT
4,128,0.000675,0.000123,MPI DT
8,256,0.001426,0.000486,MPI DT
8,256,0.001114,0.000461,MPI DT
8,256,0.000867,0.000488,MPI DT
8,256,0.000980,0.000483,MPI DT
8,256,0.000958,0.000464,MPI DT
16,512,0.002244,0.003087,MPI DT
16,512,0.002322,0.003218,MPI DT
16,512,0.002668,0.002912,MPI DT
16,512,0.002306,0.002955,MPI DT
16,512,0.002316,0.003193,MPI DT
32,1024,0.008361,0.009835,MPI DT
32,1024,0.008744,0.010390,MPI DT
32,1024,0.008476,0.011036,MPI DT
32,1024,0.008386,0.011539,MPI DT
32,1024,0.007950,0.011512,MPI DT
64,2048,0.036579,0.052097,MPI DT
64,2048,0.037302,0.053587,MPI DT
64,2048,0.036523,0.054282,MPI DT
64,2048,0.036460,0.053205,MPI DT
64,2048,0.034732,0.050856,MPI DT
1,32,-42.000000,0.000235,MPI BDV
1,32,-42.000000,0.000179,MPI BDV
1,32,-42.000000,0.000157,MPI BDV
1,32,-42.000000,0.000161,MPI BDV
1,32,-42.000000,0.000149,MPI BDV
4,128,-42.000000,0.000968,MPI BDV
4,128,-42.000000,0.000407,MPI BDV
4,128,-42.000000,0.000305,MPI BDV
4,128,-42.000000,0.000394,MPI BDV
4,128,-42.000000,0.000286,MPI BDV
16,512,-42.000000,0.002693,MPI BDV
16,512,-42.000000,0.002696,MPI BDV
16,512,-42.000000,0.002404,MPI BDV
16,512,-42.000000,0.002698,MPI BDV
16,512,-42.000000,0.002363,MPI BDV
64,2048,-42.000000,0.027493,MPI BDV
64,2048,-42.000000,0.028179,MPI BDV
64,2048,-42.000000,0.026304,MPI BDV
64,2048,-42.000000,0.027821,MPI BDV
64,2048,-42.000000,0.027368,MPI BDV
1,64,0.000481,0.000016,MPI DT
1,64,0.000395,0.000013,MPI DT
1,64,0.000171,0.000012,MPI DT
1,64,0.000135,0.000013,MPI DT
1,64,0.000134,0.000013,MPI DT
2,128,0.000495,0.000122,MPI DT
2,128,0.000261,0.000110,MPI DT
2,128,0.000328,0.000111,MPI DT
2,128,0.000257,0.000113,MPI DT
2,128,0.000574,0.000106,MPI DT
4,256,0.000944,0.000574,MPI DT
4,256,0.000666,0.000515,MPI DT
4,256,0.000643,0.000476,MPI DT
4,256,0.000735,0.000521,MPI DT
4,256,0.000638,0.000484,MPI DT
8,512,0.002211,0.002217,MPI DT
8,512,0.001984,0.002356,MPI DT
8,512,0.002117,0.002036,MPI DT
8,512,0.001973,0.002176,MPI DT
8,512,0.001900,0.002087,MPI DT
16,1024,0.007403,0.009769,MPI DT
16,1024,0.007174,0.009933,MPI DT
16,1024,0.007196,0.008900,MPI DT
16,1024,0.007388,0.008737,MPI DT
16,1024,0.006944,0.009557,MPI DT
32,2048,0.031661,0.036966,MPI DT
32,2048,0.032590,0.037101,MPI DT
32,2048,0.033228,0.037810,MPI DT
32,2048,0.030896,0.035182,MPI DT
32,2048,0.032986,0.037261,MPI DT
64,4096,0.160830,0.184649,MPI DT
64,4096,0.151770,0.168688,MPI DT
64,4096,0.160541,0.192901,MPI DT
64,4096,0.151352,0.174007,MPI DT
64,4096,0.154002,0.172390,MPI DT
1,64,-42.000000,0.000278,MPI BDV
1,64,-42.000000,0.000205,MPI BDV
1,64,-42.000000,0.000265,MPI BDV
1,64,-42.000000,0.000264,MPI BDV
1,64,-42.000000,0.000210,MPI BDV
4,256,-42.000000,0.000781,MPI BDV
4,256,-42.000000,0.000786,MPI BDV
4,256,-42.000000,0.000669,MPI BDV
4,256,-42.000000,0.000878,MPI BDV
4,256,-42.000000,0.000751,MPI BDV
16,1024,-42.000000,0.007514,MPI BDV
16,1024,-42.000000,0.006773,MPI BDV
16,1024,-42.000000,0.007656,MPI BDV
16,1024,-42.000000,0.007406,MPI BDV
16,1024,-42.000000,0.006972,MPI BDV
64,4096,-42.000000,0.093219,MPI BDV
64,4096,-42.000000,0.091274,MPI BDV
64,4096,-42.000000,0.091860,MPI BDV
64,4096,-42.000000,0.093643,MPI BDV
64,4096,-42.000000,0.091781,MPI BDV
1,128,0.000080,0.000082,MPI DT
1,128,0.000064,0.000065,MPI DT
1,128,0.000062,0.000068,MPI DT
1,128,0.000061,0.000057,MPI DT
1,128,0.000061,0.000054,MPI DT
2,256,0.000819,0.000413,MPI DT
2,256,0.000391,0.000434,MPI DT
2,256,0.000416,0.000394,MPI DT
2,256,0.000433,0.000401,MPI DT
2,256,0.000423,0.000386,MPI DT
4,512,0.001913,0.002052,MPI DT
4,512,0.001618,0.001877,MPI DT
4,512,0.001826,0.001823,MPI DT
4,512,0.001863,0.001834,MPI DT
4,512,0.001577,0.001846,MPI DT
8,1024,0.006801,0.008072,MPI DT
8,1024,0.006490,0.007551,MPI DT
8,1024,0.006273,0.007894,MPI DT
8,1024,0.005969,0.007115,MPI DT
8,1024,0.006161,0.008346,MPI DT
16,2048,0.032202,0.029861,MPI DT
16,2048,0.034043,0.029651,MPI DT
16,2048,0.032159,0.030444,MPI DT
16,2048,0.029712,0.030983,MPI DT
16,2048,0.033520,0.030431,MPI DT
32,4096,0.151674,0.128784,MPI DT
32,4096,0.146111,0.123173,MPI DT
32,4096,0.140544,0.127487,MPI DT
32,4096,0.142712,0.121461,MPI DT
32,4096,0.143820,0.123812,MPI DT
1,128,-42.000000,0.000392,MPI BDV
1,128,-42.000000,0.000275,MPI BDV
1,128,-42.000000,0.000250,MPI BDV
1,128,-42.000000,0.000247,MPI BDV
1,128,-42.000000,0.000246,MPI BDV
4,512,-42.000000,0.001840,MPI BDV
4,512,-42.000000,0.001723,MPI BDV
4,512,-42.000000,0.001916,MPI BDV
4,512,-42.000000,0.001814,MPI BDV
4,512,-42.000000,0.001720,MPI BDV
16,2048,-42.000000,0.021583,MPI BDV
16,2048,-42.000000,0.020069,MPI BDV
16,2048,-42.000000,0.021471,MPI BDV
16,2048,-42.000000,0.024873,MPI BDV
16,2048,-42.000000,0.024308,MPI BDV
1,256,0.000213,0.000450,MPI DT
1,256,0.000199,0.000427,MPI DT
1,256,0.000191,0.000385,MPI DT
1,256,0.000190,0.000401,MPI DT
1,256,0.000190,0.000407,MPI DT
2,512,0.001357,0.002020,MPI DT
2,512,0.001181,0.001982,MPI DT
2,512,0.001155,0.001995,MPI DT
2,512,0.001193,0.002006,MPI DT
2,512,0.001154,0.002006,MPI DT
4,1024,0.005656,0.007807,MPI DT
4,1024,0.005323,0.008743,MPI DT
4,1024,0.004959,0.008836,MPI DT
4,1024,0.004761,0.008196,MPI DT
4,1024,0.004841,0.008275,MPI DT
8,2048,0.029338,0.032544,MPI DT
8,2048,0.028178,0.030972,MPI DT
8,2048,0.027799,0.029186,MPI DT
8,2048,0.029351,0.030737,MPI DT
8,2048,0.031153,0.030226,MPI DT
16,4096,0.143440,0.117330,MPI DT
16,4096,0.151685,0.113697,MPI DT
16,4096,0.152157,0.118716,MPI DT
16,4096,0.150566,0.114693,MPI DT
16,4096,0.144579,0.117971,MPI DT
1,256,-42.000000,0.001015,MPI BDV
1,256,-42.000000,0.000819,MPI BDV
1,256,-42.000000,0.000769,MPI BDV
1,256,-42.000000,0.000763,MPI BDV
1,256,-42.000000,0.000755,MPI BDV
4,1024,-42.000000,0.008348,MPI BDV
4,1024,-42.000000,0.007892,MPI BDV
4,1024,-42.000000,0.007073,MPI BDV
4,1024,-42.000000,0.006960,MPI BDV
4,1024,-42.000000,0.006874,MPI BDV
16,4096,-42.000000,0.103331,MPI BDV
16,4096,-42.000000,0.102639,MPI BDV
16,4096,-42.000000,0.102383,MPI BDV
16,4096,-42.000000,0.103264,MPI BDV
16,4096,-42.000000,0.101472,MPI BDV
1,512,0.001467,0.003000,MPI DT
1,512,0.001339,0.002825,MPI DT
1,512,0.001382,0.002895,MPI DT
1,512,0.001279,0.002608,MPI DT
1,512,0.001252,0.002879,MPI DT
2,1024,0.005319,0.011249,MPI DT
2,1024,0.004848,0.010617,MPI DT
2,1024,0.004494,0.010464,MPI DT
2,1024,0.004474,0.010866,MPI DT
2,1024,0.004471,0.010522,MPI DT
4,2048,0.021123,0.034102,MPI DT
4,2048,0.019450,0.032072,MPI DT
4,2048,0.020063,0.032373,MPI DT
4,2048,0.020163,0.032406,MPI DT
4,2048,0.023086,0.037556,MPI DT
8,4096,0.148565,0.126163,MPI DT
8,4096,0.164830,0.118571,MPI DT
8,4096,0.144014,0.129483,MPI DT
8,4096,0.147443,0.141444,MPI DT
8,4096,0.156818,0.120621,MPI DT
1,512,-42.000000,0.004302,MPI BDV
1,512,-42.000000,0.004251,MPI BDV
1,512,-42.000000,0.004026,MPI BDV
1,512,-42.000000,0.004367,MPI BDV
1,512,-42.000000,0.004174,MPI BDV
4,2048,-42.000000,0.037841,MPI BDV
4,2048,-42.000000,0.037738,MPI BDV
4,2048,-42.000000,0.039724,MPI BDV
4,2048,-42.000000,0.037400,MPI BDV
4,2048,-42.000000,0.037569,MPI BDV
1,1024,0.005237,0.017914,MPI DT
1,1024,0.005452,0.017815,MPI DT
1,1024,0.005346,0.017422,MPI DT
1,1024,0.005091,0.017567,MPI DT
1,1024,0.005316,0.017272,MPI DT
2,2048,0.021772,0.052681,MPI DT
2,2048,0.023201,0.048963,MPI DT
2,2048,0.023635,0.044522,MPI DT
2,2048,0.024317,0.044165,MPI DT
2,2048,0.022833,0.044385,MPI DT
4,4096,0.187330,0.196189,MPI DT
4,4096,0.187293,0.268262,MPI DT
4,4096,0.171908,0.164695,MPI DT
4,4096,0.231265,0.154957,MPI DT
4,4096,0.167998,0.147622,MPI DT
1,1024,-42.000000,0.024064,MPI BDV
1,1024,-42.000000,0.023399,MPI BDV
1,1024,-42.000000,0.022677,MPI BDV
1,1024,-42.000000,0.023826,MPI BDV
1,1024,-42.000000,0.022493,MPI BDV
4,4096,-42.000000,0.155219,MPI BDV
4,4096,-42.000000,0.155084,MPI BDV
4,4096,-42.000000,0.159879,MPI BDV
4,4096,-42.000000,0.158632,MPI BDV
4,4096,-42.000000,0.158492,MPI BDV
1,2048,0.021173,0.089710,MPI DT
1,2048,0.025230,0.073843,MPI DT
1,2048,0.027970,0.072863,MPI DT
1,2048,0.027869,0.073556,MPI DT
1,2048,0.027460,0.073402,MPI DT
2,4096,0.167244,0.211852,MPI DT
2,4096,0.172497,0.208020,MPI DT
2,4096,0.331836,0.204830,MPI DT
2,4096,0.332842,0.205389,MPI DT
2,4096,0.172683,0.211607,MPI DT
1,2048,-42.000000,0.097959,MPI BDV
1,2048,-42.000000,0.097397,MPI BDV
1,2048,-42.000000,0.095614,MPI BDV
1,2048,-42.000000,0.094862,MPI BDV
1,2048,-42.000000,0.095099,MPI BDV
1,4096,0.475467,0.361362,MPI DT
1,4096,0.444017,0.364921,MPI DT
1,4096,0.485873,0.347766,MPI DT
1,4096,0.446571,0.340099,MPI DT
1,4096,0.502067,0.354575,MPI DT
1,4096,-42.000000,0.437052,MPI BDV
1,4096,-42.000000,0.425861,MPI BDV
1,4096,-42.000000,0.422010,MPI BDV
1,4096,-42.000000,0.416383,MPI BDV
1,4096,-42.000000,0.432353,MPI BDV
