Processes,Dim,Version,RollingMean_MatTranspose
1,16,MPI DT,1e-06
2,32,MPI DT,3.5999999999999994e-05
4,64,MPI DT,6.620000000000001e-05
8,128,MPI DT,0.00014160000000000003
16,256,MPI DT,0.0005578
32,512,MPI DT,0.0041432
64,1024,MPI DT,0.015598400000000002
1,16,MPI BDV,0.0001982
4,64,MPI BDV,0.0003698
16,256,MPI BDV,0.0011126
64,1024,MPI BDV,0.0089972
1,32,MPI DT,2.1999999999999997e-06
2,64,MPI DT,5.380000000000001e-05
4,128,MPI DT,0.00012920000000000002
8,256,MPI DT,0.0004764
16,512,MPI DT,0.0030729999999999998
32,1024,MPI DT,0.0108624
64,2048,MPI DT,0.0528054
1,32,MPI BDV,0.0001762
4,128,MPI BDV,0.00047200000000000003
16,512,MPI BDV,0.0025708000000000003
64,2048,MPI BDV,0.027432999999999996
1,64,MPI DT,1.34e-05
2,128,MPI DT,0.0001124
4,256,MPI DT,0.000514
8,512,MPI DT,0.0021744000000000004
16,1024,MPI DT,0.009379199999999999
32,2048,MPI DT,0.036863999999999994
64,4096,MPI DT,0.17852700000000002
1,64,MPI BDV,0.0002444
4,256,MPI BDV,0.000773
16,1024,MPI BDV,0.0072642
64,4096,MPI BDV,0.0923554
1,128,MPI DT,6.52e-05
2,256,MPI DT,0.0004056
4,512,MPI DT,0.0018863999999999999
8,1024,MPI DT,0.0077956
16,2048,MPI DT,0.030274000000000002
32,4096,MPI DT,0.1249434
1,128,MPI BDV,0.000282
4,512,MPI BDV,0.0018026000000000001
16,2048,MPI BDV,0.022460799999999996
1,256,MPI DT,0.000414
2,512,MPI DT,0.0020018
4,1024,MPI DT,0.0083714
8,2048,MPI DT,0.030733
16,4096,MPI DT,0.1164814
1,256,MPI BDV,0.0008242
4,1024,MPI BDV,0.0074294
16,4096,MPI BDV,0.10261780000000001
1,512,MPI DT,0.0028414
2,1024,MPI DT,0.0107436
4,2048,MPI DT,0.033701800000000004
8,4096,MPI DT,0.1272564
1,512,MPI BDV,0.004224
4,2048,MPI BDV,0.0380544
1,1024,MPI DT,0.017598
2,2048,MPI DT,0.0469432
4,4096,MPI DT,0.186345
1,1024,MPI BDV,0.0232918
4,4096,MPI BDV,0.1574612
1,2048,MPI DT,0.0766748
2,4096,MPI DT,0.2083396
1,2048,MPI BDV,0.0961862
1,4096,MPI DT,0.3537446
1,4096,MPI BDV,0.42673179999999994
