Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000001,0.000000,IMP
1,4,0.000001,0.000001,IMP
1,8,0.000002,0.000001,SEQ
1,8,0.000002,0.000000,SEQ
1,8,0.000001,0.000000,SEQ
1,8,0.000002,0.000001,SEQ
1,8,0.000002,0.000000,SEQ
1,8,0.000001,0.000000,IMP
1,8,0.000000,0.000001,IMP
1,8,0.000001,0.000000,IMP
1,8,0.000001,0.000000,IMP
1,8,0.000001,0.000000,IMP
1,16,0.000003,0.000003,SEQ
1,16,0.000004,0.000002,SEQ
1,16,0.000004,0.000002,SEQ
1,16,0.000004,0.000002,SEQ
1,16,0.000004,0.000003,SEQ
1,16,0.000001,0.000000,IMP
1,16,0.000002,0.000001,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000002,0.000000,IMP
1,32,0.000025,0.000007,SEQ
1,32,0.000011,0.000007,SEQ
1,32,0.000003,0.000003,SEQ
1,32,0.000011,0.000008,SEQ
1,32,0.000011,0.000008,SEQ
1,32,0.000004,0.000002,IMP
1,32,0.000004,0.000001,IMP
1,32,0.000002,0.000000,IMP
1,32,0.000004,0.000001,IMP
1,32,0.000003,0.000002,IMP
1,64,0.000033,0.000032,SEQ
1,64,0.000040,0.000039,SEQ
1,64,0.000012,0.000012,SEQ
1,64,0.000034,0.000033,SEQ
1,64,0.000040,0.000038,SEQ
1,64,0.000033,0.000017,IMP
1,64,0.000018,0.000017,IMP
1,64,0.000010,0.000010,IMP
1,64,0.000017,0.000016,IMP
1,64,0.000016,0.000017,IMP
1,128,0.000159,0.000187,SEQ
1,128,0.000159,0.000186,SEQ
1,128,0.000047,0.000057,SEQ
1,128,0.000159,0.000186,SEQ
1,128,0.000160,0.000186,SEQ
1,128,0.000063,0.000180,IMP
1,128,0.000065,0.000178,IMP
1,128,0.000019,0.000055,IMP
1,128,0.000062,0.000212,IMP
1,128,0.000062,0.000179,IMP
1,256,0.000617,0.001520,SEQ
1,256,0.000626,0.001566,SEQ
1,256,0.000263,0.000611,SEQ
1,256,0.000618,0.001504,SEQ
1,256,0.000571,0.001341,SEQ
1,256,0.000259,0.000825,IMP
1,256,0.000247,0.000877,IMP
1,256,0.000242,0.000827,IMP
1,256,0.000243,0.000822,IMP
1,256,0.000249,0.000830,IMP
1,512,0.002559,0.003877,SEQ
1,512,0.002646,0.004238,SEQ
1,512,0.002657,0.004142,SEQ
1,512,0.002145,0.005635,SEQ
1,512,0.002313,0.006276,SEQ
1,512,0.001158,0.003520,IMP
1,512,0.001107,0.003472,IMP
1,512,0.000657,0.002037,IMP
1,512,0.001149,0.003512,IMP
1,512,0.001102,0.003460,IMP
1,1024,0.005477,0.018625,SEQ
1,1024,0.005475,0.018851,SEQ
1,1024,0.005737,0.023362,SEQ
1,1024,0.005420,0.018459,SEQ
1,1024,0.005414,0.018365,SEQ
1,1024,0.006251,0.007858,IMP
1,1024,0.007235,0.007262,IMP
1,1024,0.006178,0.008673,IMP
1,1024,0.008211,0.006753,IMP
1,1024,0.008632,0.006038,IMP
1,2048,0.020431,0.120086,SEQ
1,2048,0.028907,0.079433,SEQ
1,2048,0.028919,0.080656,SEQ
1,2048,0.020146,0.108062,SEQ
1,2048,0.030246,0.077738,SEQ
1,2048,0.020608,0.027680,IMP
1,2048,0.020925,0.027670,IMP
1,2048,0.015777,0.026949,IMP
1,2048,0.021108,0.027286,IMP
1,2048,0.019854,0.027452,IMP
1,4096,0.228132,0.363744,SEQ
1,4096,0.203239,0.419342,SEQ
1,4096,0.227922,0.378800,SEQ
1,4096,0.202602,0.411316,SEQ
1,4096,0.229625,0.350701,SEQ
1,4096,0.130613,0.155361,IMP
1,4096,0.129152,0.141446,IMP
1,4096,0.130471,0.172317,IMP
1,4096,0.130782,0.163792,IMP
1,4096,0.130830,0.154294,IMP
